Allocation Ref,SHLAA Refs,Address,Capacity,Completed post-2012, Under construction,Not started,Area HA,Green/Brown,Status
HG1-1,734,"Bradford Road - High Royds, Menston",349,335,14,0,,,Draft
HG1-2,738,"Netherfield Road - Cromptons, Guiseley",116,93,0,23,,,Draft
HG1-3,742,"Netherfield Road, Guiseley",98,78,18,2,,,Draft
HG1-4,HLA2802490,The Drop Inn 29 Town Street Guiseley,6,6,0,0,,,Draft
HG1-5,5121,Parkside Works Otley Road Guiseley,7,0,0,7,,,Draft
HG1-6,271,"Springfield Road - Springhead Mills, Guiseley",54,0,0,54,,,Draft
HG1-7,5111,"Former Dairy Crest Site, Queensway, Guiseley",14,0,0,14,,,Draft
HG1-8,HLA2802390,107 Queensway Yeadon,9,0,0,9,,,Draft
HG1-9,3164,"Haworth Court, Chapel Lane",45,0,0,45,,,Draft
HG1-10,741,"Greenlea Road, Yeadon",30,30,0,0,,,Draft
HG1-11,3187,"Station Garage, Henshaw Lane, Yeadon",5,0,0,5,,,Draft
HG1-12,1308,"Site of Units at Green Lane Dyeworks and Mill Ponds and 25 and 27 Green Lane, Yeadon, Leeds",171,0,1,170,,,Draft
HG1-13,HLA2700370,26-28 New Road Side Horsforth,5,0,0,5,,,Draft
HG1-14,3229,"Batter Lane, Rawdon",4,4,0,0,,,Draft
HG1-96,34,"Low Hall Road -Riverside Mill, Horsforth LS19",54,0,0,54,,,Draft
HG2-6,1113,"Silverdale Avenue (land at), Guiseley",32,,,,2,Greenfield,Draft
HG2-7,180,"Swaine Hill Terrace - former Brookfield Nursing Home, Yeadon",7,,,,0.4,Brownfield,Draft
HG2-8,4019,"Kirkland House, Queensway, Yeadon",17,,,,0.5,Brownfield,Draft
HG2-11,12,"Larkfield Drive (off) - Ivy House (adjacent), Rawdon",6,,,,0.5,Greenfield,Draft
HG2-1,3026,"New Birks Farm, Ings Lane, Guiseley",298,,,,11.3,Greenfield,Draft
HG2-2,3029,"Wills Gill, Guiseley",133,,,,5.1,Greenfield,Draft
HG2-3,1255B,"Shaw Lane (land at), Guiseley and Banksfield Mount, Yeadon",234,,,,8.9,Greenfield,Draft
HG2-4,4020,"Hollins Hill and Hawkstone Avenue, Guiseley",80,,,,3,Greenfield,Draft
HG2-5,1180A_1311,Coach Road/Park Road Guiseley,83,,,,5.3,Greenfield,Draft
HG2-9,3366,"Land at Victoria Avenue, Leeds",102,,,,3.9,Greenfield,Draft
HG2-10,1221,"Gill Lane, Yeadon LS19",155,,,,5.9,Greenfield,Draft
HG2-12,4254,"Woodlands Drive, Rawdon",130,,,,4.9,Greenfield,Draft
HG3-1,4043,"Ings Lane, Guiseley",3.6,114,,,,,Draft
HG3-2,4095,"Land to west of Knott Lane, Rawdon",1.9,81,,,,,Draft
HG3-3,3331,"Land at Rawdon, Leeds",1,35,,,,,Draft
HG3-4,3329_5145,Layton Wood Rawdon,4.7,130,,,,,Draft
HG1-419,5115,"22-23 Blenheim Terrace, Leeds, LS2 9HD",9,0,0,9,,,Draft
HG1-420,5195,"8 Blenheim Terrace, Woodhouse Lane, Woodhouse, Leeds, LS2 9HZ",6,0,0,6,,,Draft
HG1-421,3138,3-4 Blenheim Terrace LS2,1,0,1,0,,,Draft
HG1-422,3338,"8 Springfield Mount, Leeds LS2 9ND",9,9,0,0,,,Draft
HG1-423,182,"Springfield Mount (19), Woodhouse LS2 9NG",7,0,0,7,,,Draft
HG1-424,4181,"44 Claredon Road, LS2 9PJ",5,5,0,0,,,Draft
HG1-425,3160,29-31 Hyde Park Terrace LS2,6,0,0,6,,,Draft
HG1-426,3139,25-27 Hyde Terrace LS1,11,"",0,0,,,Draft
HG1-427,3140,23 Hyde Terrace LS2,6,0,0,6,,,Draft
HG1-428,3141,40 Clarendon Road LS2,6,0,0,6,,,Draft
HG1-429,HLA2005090,"36 Clarendon Road, Woodhouse, Leeds, LS9 9NZ",7,7,0,0,,,Draft
HG1-430,3347,"15-19 Hyde Terrace, Leeds, LS2 9LT",14,14,0,0,,,Draft
HG1-431,3340,"65 Clarendon Road, Leeds, LS2 9NZ",12,0,8,4,,,Draft
HG1-432,4180,"31 Clarendon Road, LS2 9NZ",10,10,0,0,,,Draft
HG1-433,5156,"Clarendon House, 20 Clarendon Road",24,0,0,24,,,Draft
HG1-434,3339,"20-28 Hyde Terrace, Leeds LS2 9LN",27,23,4,0,,,Draft
HG1-435,3307,Leeds Metropolitan University LS1 3HE,199,125,74,0,,,Draft
HG1-436,2029,Leeds Metropolitan University LS1 3HE,145,0,145,0,,,Draft
HG1-437,5186,21 - 23 Queen Square,5,0,0,5,,,Draft
HG1-438,5104,"18 Queen Square, Leeds, LS2",7,1,6,0,,,Draft
HG1-440,5122,17 Regent Street Sheepscar,73,0,0,73,,,Draft
HG1-441,5015,"Site of Kendall Carr, Hanover Mount, Woodhouse, Leeds",23,0,0,23,,,Draft
HG1-442,204,Hanover Square (32) LS3 1AW,7,0,0,7,,,Draft
HG1-443,HLA2005280,"Algernon Firth Building, LGI, Thoresby Place Leeds",43,43,0,0,,,Draft
HG1-444,5174,"Crown House, 81 - 89 Great George Street, Leeds, LS1 3BR",37,0,0,37,,,Draft
HG1-445,5103,"63 Great George Street, Leeds, LS1 3bb",5,5,0,0,,,Draft
HG1-446,4183,"74 New Briggate, LS1",7,7,0,0,,,Draft
HG1-447,394,New York Road - Crispin House LS2,85,85,0,0,,,Draft
HG1-448,439,Emco Ho 5-7 New York Road LS2,60,"",0,0,,,Draft
HG1-449,429,"Site of 8 South Parade 22 East Parade and 159 The Headrow,",26,0,0,26,,,Draft
HG1-450,4190,"Forsyth House, 5 South Parade, City Centre",13,0,0,13,,,Draft
HG1-451,5182,22 to 24 New Briggate,12,0,0,12,,,Draft
HG1-452,4195,"Pennine House, LS1 5RN",112,98,14,0,,,Draft
HG1-453,5157,"6 - 12 Lands Lane, LS1 6LD",18,0,0,18,,,Draft
HG1-454,5184,"42 Park Place, LS1 2RY",8,0,0,8,,,Draft
HG1-456,3337,"29 Kirkgate and 18 New York Street, Leeds LS2",8,8,0,0,,,Draft
HG1-457,5108,"First And Second Floors And Loft Space, 46-48 New York Street",7,0,7,0,,,Draft
HG1-458,3018,4 St Peters Place Leeds LS9,18,0,0,18,,,Draft
HG1-459,395,The Calls (36),14,0,0,14,,,Draft
HG1-462,5175,"53 The Calls, Leeds, LS2 7EY",16,0,0,16,,,Draft
HG1-463,406,Manor Road (16-18) LS11,57,0,0,57,,,Draft
HG1-464,407,Manor Road LS11,744,0,0,744,,,Draft
MX1-5,454,Portland Crescent LS1,50,0,0,50,,,Draft
MX1-7,402,Cropper Gate - Mayfair LS1,272,0,0,272,,,Draft
MX1-8,MXD00075,"Aireside development, Wellinton Place and Whitehall Road, Leeds",600,0,0,600,,,Draft
MX1-9,5123,"30 Sovereign Street, Leeds, LS1 4BA",5,0,0,5,,,Draft
MX1-10,3017,St Peters church & house,35,0,0,35,,,Draft
MX1-13,450,Globe Road / Water Lane LS11,263,0,0,263,,,Draft
MX1-14,405,Globe Road - Tower Works LS10,134,0,0,134,,,Draft
MX1-15,205,"Granary Wharf Car Park, off Water Lane LS11 5PS",68,0,0,68,,,Draft
MX1-16,202,Silver Street - Midland Mills LS11 9YW,15,0,0,15,,,Draft
MX1-17,409,Bath Road LS11,240,0,0,240,,,Draft
