SA Objective Code, SA Objective Description,Assumptions Used,Scoring
SA1,Employment,Based on the location and existing use of the site.,Proposed Employment Use  +   Proposed use will create new       employment O  Existing employment use on site  Proposed Retail Use  +   Proposed use will create new       employment O  Existing employment use on site  Proposed Housing Use  O   All sites except existing        employment use on site -     Existing employment use  - -   If single employment site in a          smaller settlement.
SA2,Economic growth,Based on the location and existing use of the site,Proposed Employment Use  ++  Proposed use will create new        employment (City Centre or Town        Centre location) +    Proposed use will create new        employment O   Existing employment use on site  Proposed Retail Use  +    Proposed use will create new        employment O   Existing employment use on site  Proposed Housing Use  O    All sites except existing        employment use  -     Existing employment use  - -   If single employment site in a          smaller settlement
SA3,Education,Based on accessibility of site to existing primary and secondary schools (data provided by WY Combined Authority). The assessment does not consider the capacity of existing schools to accommodate new pupils. Comments will be provided separately by Childrens Services on school capacity. Large sites (800+ units) could accommodate new school on site.,+ All site within accessibility zones for primary (20 min walk) and secondary education (30 min walk)  O Partly within accessibility zones for primary and secondary education. - Outside accessibility zones for primary and secondary education Proposed Employment or Retail Use O Employment or retail site
SA4,Health,Based on accessibility of site to existing primary health facilities (data provided by WY Combined Authority to LCC highways) The assessment does not consider the capacity of existing health facilities to accommodate new patients. Comments will be provided separately by health consultees.,+   All site within accessibility zone for       primary health facilities (20 min walk) O  Partly within accessibility zone.  -   Outside accessibility zone      Proposed Employment or Retail Use  O  Employment or retail site
SA5,Crime,Outside of the scope of the Site Allocations document to determine the implications for crime arising from a site’s development.,O   All sites
SA6,"Culture, leisure & recreation",Based on the location in terms of centres and therefore the proximity to cultural and leisure facilities. Consider the size of the site and impact on existing facilities.,++  Near/in the city centre +    Near/in a town centre O   Site not near or in a centre but          reasonably accessible -     Not near or in a centre --    Loss of existing leisure facility  Proposed Employment or Retail Use  O    Employment or retail site
SA7,Housing,All housing sites will score favourably,+    All sites considered for housing. -    Employment or retail site
SA8,Community participation,Outside the scope of the Site Allocations document to determine the implications for social inclusion and community participation. However if large site may be potential to provide new facilities on site,+    Good access to existing services in         the City Centre or Town Centres  O   Remaining sites O? Large site which could potentially        accommodate new facilities on site -    Poor access to existing services   Proposed Employment or Retail Use  O    Employment or retail site
SA9,"Community cohesion","Consider the relationship of the site to the existing area, eg scale of site in relation to the scale of the existing settlement","O   Site size considered to be in scale        with settlement scale -    Site is out of scale with settlement scale or loss of existing community           facility (eg sports club, allotments) - -  Site size is considered to  be         significantly out of scale with         settlement scale"
SA10,Greenspace,SA scoring based on assessment of accessibility of sites to existing greenspace using accessibility standards in Core Strategy (Policy G3).  Scores reflect whether a site falls within the accessibility threshold for each greenspace type. The scores are the number of greenspace type thresholds a site falls within,++  Access to 8-9 typologies  +    Access to 6-7 typologies O   Access to 4-5 typologies -    Access to 2-3 typologies - -  Access to 0-1 typologies  --  Existing greenspace use on site  Proposed Employment or Retail Use  O  Employment or retail site
