SHLAA Ref,Address,Area ha,_something_,Capacity,I&O RAG,Settlement Hierarchy,Green/Brown,Reason,Easting,Northing
34,"Low Hall Road -Riverside Mill, Horsforth LS19",7.9,"",60,LG,Main Urban Area Extension,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,421771,437622
271,"Springfield Road - Springhead Mills, Guiseley",1.9,"",54,LG,Major Settlement Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,419291,442038
734,"Bradford Road - High Royds, Menston",24.6,"",337,LG,Other,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,417484,442962
738,"Netherfield Road - Cromptons, Guiseley",5.4,"",116,LG,Major Settlement Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,418731,442635
741,"Greenlea Road, Yeadon",1,"",30,LG,Major Settlement Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,419995,440357
742,"Netherfield Road, Guiseley",3.2,"",98,LG,Major Settlement Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,418881,442425
3164,"Haworth Court, Chapel Lane",0.6,"",21,LG,Major Settlement Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,420729,441188
3187,"Station Garage, Henshaw Lane, Yeadon",0.3,"",5,LG,Major Settlement Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,420560,440548
3229,"Batter Lane, Rawdon",0.4,"",4,LG,Major Settlement Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,421003,439923
5111,"Former Dairy Crest Site, Queensway, Guiseley",0.6,"",14,NonIO,Major Settlement Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,419595,442135
5121,Parkside Works Otley Road Guiseley,0.2,"",7,LG,Major Settlement Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,418884,441960
HLA2700370,26-28 New Road Side Horsforth,0,"",5,LG,Major Settlement Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA2802390,107 Queensway Yeadon,0.1,"",9,LG,Major Settlement Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA2802490,The Drop Inn 29 Town Street Guiseley,0.2,"",6,LG,Major Settlement Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
12,"Larkfield Drive (off) - Ivy House (adjacent), Rawdon",0.5,"",6,A,Major Settlement Infill,Greenfield,"Access would require removal of existing dwelling.  There is a Tree Preservation Order over the site, however, the site has only limited tree cover and this could be considered in detailed design.",421124,439489
180,"Swaine Hill Terrace - Brookfield Nursing Home, Yeadon",0.4,"",7,R,Major Settlement Infill,Brownfield,"Allocate. Conversion site above 0.4ha, detail the requirement that redevelopment would not be acceptable.",420209,441344
1113,"Silverdale Avenue (land at) , Guiseley",2,"",32,R,Major Settlement Infill,Greenfield,Allocate the site for housing with stipulations that half of the site looking onto Silverdale Avenue be laid out for allotments with a management plan to ensure that they are available for public use. Demand for allotments in the area and proper laying out of the site will increase useage.,419046,441426
1180A,"Coach Road (land off), Guiseley LS20",1.2,"",37,A,Major Settlement Extension,Greenfield,A comprehensive development along with sites 1311A and 2163A would be appropriate.  Traffic calming in Silverdale Estate would be required.,419075,441233
