Sites Assessed for Housing in Site Allocations Plan 
HMCA ,Site Ref ,SA01 ,SA02 ,SA03 ,SA04 ,SA05 ,SA06 ,SA07 ,SA08 ,SA09 ,SA10 ,SA11 ,SA12 ,SA13 ,SA14 ,SA15 ,SA16 ,SA17 ,SA18a ,SA18b ,SA18c ,SA19 ,SA20 ,SA21 ,SA22a ,SA22b ,SA22c ,SA22d ,SustApprComment
1 ,12 ,0 ,1 ,1 ,1 ,0 ,0 ,1 ,1 ,0 ,1 ,-2 ,0 ,1 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,-2 ,0 ,0 ,0 ,0 ,0 ,1,""
1 ,180 ,0 ,0 ,1 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,1 ,0 ,1 ,2 ,1 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"SA1&2 & 7 & 8 & 16 negative if in use, neutral if not"
1 ,1103 ,0 ,0 ,1 ,1 ,0 ,0 ,1 ,1 ,0 ,1 ,1 ,0 ,1 ,2 ,1 ,1 ,0 ,1 ,0 ,0 ,-2 ,0 ,0 ,0 ,0 ,0 ,0,""
1 ,1104 ,-1 ,-1 ,1 ,1 ,0 ,-1 ,1 ,1 ,0 ,1 ,1 ,0 ,1 ,2 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-2 ,0 ,0 ,0,""
1 ,1113 ,0 ,0 ,1 ,1 ,0 ,0 ,1 ,1 ,0 ,-2 ,-2 ,0 ,0 ,1 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,-2 ,0 ,0 ,0 ,"SA6, 8 & 9 Assessment based on current limited use of allotments. SA10 "
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Existing allotments.
1 ,1148 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,-1 ,-1 ,0 ,-2 ,-2 ,-1 ,1 ,0 ,-1 ,0 ,0 ,0 ,0 ,-2 ,-1 ,0 ,-1 ,0 ,0 ,0,""
1 ,1180A ,0 ,0 ,1 ,1 ,0 ,0 ,1 ,-1 ,0 ,1 ,-2 ,0 ,-1 ,1 ,0 ,-1 ,0 ,0 ,0 ,0 ,-2 ,0 ,0 ,-2 ,0 ,0 ,0,""
1 ,1180B ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,-1 ,0 ,0 ,-2 ,0 ,-1 ,1 ,-1 ,-1 ,0 ,0 ,0 ,0 ,-2 ,0 ,0 ,-2 ,0 ,0 ,1,""
1 ,1194 ,0 ,0 ,0 ,-1 ,0 ,0 ,1 ,-1 ,0 ,-1 ,-2 ,0 ,-2 ,1 ,0 ,-2 ,0 ,0 ,0 ,0 ,-2 ,0 ,0 ,-1 ,0 ,0 ,0,""
1 ,1199 ,0 ,0 ,0 ,-1 ,0 ,0 ,1 ,0 ,0 ,0 ,-2 ,-2 ,-1 ,-2 ,0 ,-1 ,0 ,0 ,0 ,0 ,-1 ,0 ,0 ,0 ,0 ,0 ,0 ,SA12 Moseley beck and grassland. Support with mitigation if area to west of 
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",beck excluded from site.SA14 land next to beck in flood zone 3ai.
1 ,1199 ,0 ,0 ,0 ,-1 ,0 ,0 ,1 ,-1 ,0 ,0 ,-2 ,-2 ,-1 ,-2 ,0 ,-1 ,0 ,1 ,0 ,0 ,-2 ,0 ,0 ,-2 ,0 ,0 ,0 ,SA12 Moseley beck and grassland. Support with mitigation if area to west of 
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",beck excluded from site.SA14 land next to beck in flood zone 3ai.
1 ,1199 ,0 ,0 ,0 ,-1 ,0 ,0 ,1 ,-1 ,0 ,0 ,-2 ,-2 ,-1 ,-2 ,0 ,-1 ,0 ,1 ,0 ,0 ,-2 ,0 ,0 ,-2 ,0 ,0 ,0 ,SA12 Moseley beck and grassland. Support with mitigation if area to west of 
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",beck excluded from site.SA14 land next to beck in flood zone 3ai.
1 ,1199 ,0 ,0 ,0 ,-1 ,0 ,0 ,1 ,0 ,0 ,0 ,-2 ,-2 ,-1 ,-2 ,0 ,-1 ,0 ,0 ,0 ,0 ,-1 ,0 ,0 ,0 ,0 ,0 ,0 ,SA12 Moseley beck and grassland. Support with mitigation if area to west of 
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",beck excluded from site.SA14 land next to beck in flood zone 3ai.
1 ,1221 ,0 ,0 ,1 ,1 ,0 ,0 ,1 ,1 ,0 ,1 ,-2 ,0 ,1 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,-2 ,0 ,0 ,0 ,0 ,0 ,1,""
1 ,1255A ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,1 ,-2 ,-1 ,1 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,-2 ,0 ,0 ,-1 ,0 ,0 ,0,""
1 ,1255B ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,1 ,-2 ,-1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,0 ,0 ,0,""
1 ,1256 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,-1 ,-1 ,0 ,-2 ,-2 ,-1 ,1 ,-1 ,-1 ,0 ,0 ,0 ,0 ,-1 ,-1 ,0 ,-1 ,0 ,0 ,0,""
1 ,1308 ,-1 ,-1 ,1 ,1 ,0 ,0 ,1 ,-1 ,0 ,1 ,1 ,-1 ,0 ,2 ,0 ,0 ,0 ,1 ,0 ,0 ,-2 ,0 ,0 ,0 ,0 ,0 ,1,""
1 ,1311A ,0 ,0 ,1 ,1 ,0 ,0 ,1 ,-1 ,0 ,1 ,-2 ,0 ,-1 ,1 ,0 ,-1 ,-1 ,0 ,0 ,0 ,-2 ,0 ,0 ,-2 ,0 ,0 ,0,""
1 ,1311B ,0 ,0 ,1 ,1 ,0 ,0 ,1 ,-1 ,0 ,1 ,-2 ,0 ,-1 ,1 ,0 ,-1 ,-1 ,0 ,0 ,0 ,-2 ,0 ,0 ,0 ,0 ,0 ,1,""
1 ,2038 ,-1 ,-1 ,0 ,0 ,0 ,0 ,1 ,-1 ,0 ,1 ,1 ,-1 ,-1 ,-1 ,-2 ,-1 ,-1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-2 ,SA14 mixed brown/green field. Northern Brown field area is flood risk 3ai the 
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",remainder is zone 1. 
1 ,2118 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,1 ,-1 ,1 ,-2 ,0 ,1 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,-1 ,0 ,-1 ,0 ,0 ,0,""
1 ,2119 ,0 ,0 ,1 ,1 ,0 ,0 ,1 ,1 ,0 ,1 ,-2 ,0 ,1 ,1 ,-1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,""
1 ,2160 ,0 ,0 ,0 ,-1 ,0 ,0 ,1 ,-1 ,-1 ,-1 ,-2 ,-2 ,-1 ,-2 ,-1 ,-1 ,0 ,0 ,0 ,0 ,-2 ,-1 ,-1 ,-1 ,0 ,0 ,1 ,SA16 Due to site size could accommodate new uses/self sustaining
